"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";
"C2";"0.1uF";"CAPPTH1";"CAP-PTH-5MM";"Capacitor";"";"";
"C3";"";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";
"C4";"0.1uF";"CAPPTH3";"CAP-PTH-LARGE";"Capacitor";"";"";
"C10";"";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";
"C11";"";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";
"C12";"";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";
"C13";"";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";
"D1";"";"DIODEPTH";"DIODE-1N4001";"Diode";"";"";
"F1";"PTCPTH";"PTCPTH";"PTC";"Resettable Fuse PTC";"";"";
"JP1";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";
"JP2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"CONN-08197";"";
"JP3";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";
"JP4";"";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"CONN-08437";"";
"JP5";"";"M05PTH";"1X05";"Header 5";"";"";
"JP6";"";"M04PTH";"1X04";"Header 4";"";"";
"JP7";"";"M05PTH";"1X05";"Header 5";"";"";
"L1";"28L0138-40R-10";"INDUCTORAXIAL-0.6";"AXIAL-0.6";"Inductors";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";
"LED2";"";"LED3MM";"LED3MM";"LED";"";"";
"Q1";"32.768kHz";"CRYSTALTC26H";"TC26H";"Various standard crystals. Proven footprints.";"XTAL-10112";"32.768kHz";
"R1";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";
"S1";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";" SWCH-08441";"";
"SJ1";"JUMPER-PTH-2-NC";"JUMPER-PTH-2-NC";"PTH-JUMPER-NC_BOTTOM_NO_SILK";"";"";"";
"SJ2";"JUMPER-PTH-2-NC";"JUMPER-PTH-2-NC";"PTH-JUMPER-NC_BOTTOM_NO_SILK";"";"";"";
"U1";"ATMEGA328P_PDIP";"ATMEGA328P_PDIP";"DIL28-3";"uC used in the Arduino";"";"";
"U2";"";"V_REG_78XXTO-92_UNTESTED";"TO-92";"Voltage Regulator";"";"";
